transaction_id,date,produit_id,client_id,ville,montant,quantite
1,2024-01-15,P001,C101,Paris,150.00,2
2,2024-01-15,P002,C102,Lyon,200.00,1
3,2024-01-15,P003,C103,Marseille,75.50,3
4,2024-01-16,P001,C104,Paris,150.00,1
5,2024-01-16,P002,C101,Bordeaux,200.00,2
6,2024-01-16,P004,C105,Toulouse,320.00,1
7,2024-01-17,P001,C102,Paris,150.00,4
8,2024-01-17,P003,C106,Lyon,75.50,2
9,2024-01-17,P005,C107,Marseille,89.99,1
10,2024-01-18,P002,C108,Nice,200.00,1
11,2024-01-18,P001,C109,Paris,150.00,2
12,2024-01-18,P004,C110,Lille,320.00,1
13,2024-01-19,P003,C101,Strasbourg,75.50,5
14,2024-01-19,P005,C111,Nantes,89.99,2
15,2024-01-19,P002,C112,Montpellier,200.00,1
16,2024-01-20,P001,C113,Paris,150.00,3
17,2024-01-20,P004,C114,Lyon,320.00,1
18,2024-01-20,P003,C115,Rennes,75.50,2
19,2024-01-21,P005,C116,Bordeaux,89.99,1
20,2024-01-21,P002,C117,Toulouse,200.00,2
21,2024-01-21,P001,C118,Paris,150.00,1
22,2024-01-22,P003,C119,Marseille,75.50,4
23,2024-01-22,P004,C120,Nice,320.00,1
24,2024-01-22,P005,C101,Lyon,89.99,2
25,2024-01-23,P001,C121,Paris,150.00,2
26,2024-01-23,P002,C122,Lille,200.00,1
27,2024-01-23,P003,C123,Strasbourg,75.50,3
28,2024-01-24,P004,C124,Nantes,320.00,1
29,2024-01-24,P005,C125,Montpellier,89.99,1
30,2024-01-24,P001,C126,Paris,150.00,5
